image1_image2,label
1485_4047,diff
5335_6055,same
10796_3696,same
11991_6672,same
7003_2539,same
590_12141,diff
8884_9008,diff
11046_1321,diff
5320_11038,diff
2317_5720,diff
8721_7530,same
5999_422,same
5355_13180,same
1296_13147,diff
10524_6124,same
7308_8177,diff
6870_9403,same
6909_1501,diff
2609_12816,same
9008_10228,diff
7348_2961,same
11731_10495,same
11005_10659,diff
5620_5822,diff
3937_2973,same
5476_9245,diff
4967_6334,diff
2279_3340,diff
5359_11346,diff
9405_4873,same
2821_4394,diff
6463_9872,diff
8534_1058,diff
2911_3458,diff
1416_8876,same
12075_2908,diff
4286_8322,diff
6345_6712,diff
2261_5057,diff
655_8103,same
7427_762,same
4377_302,diff
6278_12548,diff
4011_5907,same
2597_257,same
11731_9170,same
1168_8934,same
4110_9210,same
7308_5384,same
9836_2334,same
4737_3338,same
3476_7880,same
6230_11378,same
8274_12330,diff
13232_4548,diff
2080_5838,diff
2901_12644,same
8903_3544,diff
6178_8683,same
9480_9700,same
3561_130,diff
12034_9679,same
7417_4218,diff
11395_8823,same
10080_4938,diff
12454_1952,same
4441_12427,same
9027_12734,diff
4243_4294,diff
4718_12338,diff
1556_11818,diff
11266_12714,same
2831_7954,diff
7925_3206,same
2327_11169,same
4462_1537,same
10790_4772,same
2353_2230,diff
2932_12152,diff
5427_5664,diff
4516_3550,same
5069_1206,diff
4232_7092,diff
6580_12033,same
11046_7670,diff
4915_879,diff
8150_5944,same
3163_13014,same
5183_9167,diff
12019_7993,same
11235_11783,diff
10248_8786,diff
8101_4775,diff
10728_0,diff
6555_8719,diff
1519_6873,diff
5834_6514,diff
11358_8931,diff
8877_11086,same
11927_9974,same
5419_11695,diff
11593_7322,diff
11140_10957,diff
10729_4942,same
3950_2359,diff
170_1307,same
4417_1076,diff
2643_12791,same
44_9754,diff
12391_2717,diff
7132_6088,same
6454_7702,diff
1368_11119,diff
524_3574,diff
8571_7302,same
7879_5363,same
9999_11511,same
5060_10660,same
905_3752,same
5993_4314,same
1206_180,diff
713_5698,same
13045_5505,same
5231_1448,same
11626_9773,diff
2758_10549,diff
6569_11597,same
5674_1443,diff
5780_12166,diff
5556_1193,diff
12370_9558,same
1541_9840,same
948_10640,same
11026_3284,same
11924_2428,same
2220_4627,same
2979_11914,same
10121_7984,same
9283_3342,diff
10106_3121,same
6114_12397,same
377_7459,same
3937_865,diff
10848_12168,diff
5715_11240,same
5090_11312,diff
9495_11775,diff
4554_12567,same
1151_10084,diff
7555_7148,same
5767_10644,diff
5364_8860,same
3031_3287,diff
3944_3037,same
6202_9603,same
10070_1175,same
1500_3672,same
9061_8034,diff
529_702,diff
348_9571,diff
12309_6617,same
8711_11565,same
7568_7378,diff
5940_9211,diff
3427_12838,same
1420_9720,diff
12022_6128,same
4505_9012,diff
9266_3624,diff
12157_555,diff
10759_1959,same
10260_12645,diff
7836_8209,diff
490_13104,same
3706_10555,same
2857_8741,diff
709_4574,diff
4012_9740,same
12911_2455,diff
3820_5052,diff
6923_9189,same
3529_1359,diff
9818_11659,same
6028_2873,diff
6964_10737,same
11070_97,same
6262_3607,same
8242_3391,same
6460_7906,same
9246_2584,diff
12966_4390,same
12610_2369,same
7639_6434,diff
68_2950,same
4450_5705,same
11569_583,same
6525_7947,same
8821_8939,same
4319_6816,same
7472_8162,diff
10009_10737,same
4088_3856,diff
3296_2626,same
7408_1537,same
12533_1283,same
1001_5782,same
11907_4701,diff
1120_791,diff
12234_2475,diff
10823_9696,diff
8116_4365,same
7473_11551,diff
6230_9988,same
4506_6665,same
6861_4742,same
11592_5537,diff
9504_6427,same
6303_10201,diff
10797_5562,diff
6814_1499,same
1358_6467,diff
10115_5337,diff
2207_7772,diff
256_4011,same
4264_8169,same
3468_11835,same
978_3790,diff
10975_8384,same
13095_4174,diff
9725_11701,same
12536_2462,same
12229_7107,same
8529_5029,same
3679_5626,diff
8453_6559,diff
7050_7508,same
2142_12701,diff
259_5043,same
4031_10080,diff
7627_8820,diff
11406_5626,diff
2987_239,same
7050_12385,diff
13180_3589,diff
1815_9264,diff
5636_12263,same
